Topik,Kata Dominan
Topik 1,"kecewa, susah, bayar, minta, pasien, naik, sakit, bilang, iuran, rujukan"
Topik 2,"banyak, kelas, naik, iuran, gaji, gara, anak, rakyat, kah, pajak"
Topik 3,"pbi, kelas, aktif, ikut, banyak, pengalaman, non, bayar, peserta, kartu"
Topik 4,"kerja, dua, gaji, soalnya, sakit, bayar, tpi, ribet, gabisa, dipotong"
Topik 5,"sakit, rumah, pasien, bayar, lama, rujukan, faskes, dokter, langsung, akhirnya"
Topik 6,"gigi, sakit, rumah, ribet, jam, lama, cabut, susah, antre, dokter"
Topik 7,"berobat, bener, puskes, nahan, antrian, gabisa, malam, aplikasi, kamar, lama"
